training_examples,Logistic Regression,Decision Tree,Random Forest,Support Vector Machines,K-Nearest Neighbors,Two-Class Bayes
360,0.497,0.503,0.497,0.49,0.458,0.494
720,0.505,0.501,0.517,0.504,0.488,0.503
1080,0.502,0.499,0.505,0.505,0.529,0.499
1440,0.503,0.491,0.518,0.499,0.568,0.504
1800,0.496,0.504,0.526,0.494,0.582,0.498
2160,0.501,0.497,0.516,0.5,0.589,0.503
2520,0.497,0.502,0.522,0.501,0.595,0.498
2880,0.503,0.503,0.526,0.504,0.595,0.501
3240,0.495,0.498,0.529,0.499,0.583,0.494
3600,0.501,0.501,0.536,0.505,0.586,0.501
3960,0.49,0.51,0.533,0.499,0.582,0.492
4320,0.503,0.51,0.535,0.502,0.572,0.504
4680,0.492,0.503,0.541,0.505,0.568,0.492
5040,0.495,0.505,0.539,0.496,0.552,0.492
5400,0.502,0.51,0.55,0.494,0.556,0.499
5760,0.497,0.508,0.554,0.503,0.539,0.495
6120,0.488,0.505,0.543,0.501,0.537,0.488
6480,0.491,0.504,0.555,0.504,0.535,0.489
6840,0.489,0.505,0.561,0.496,0.528,0.488
7200,0.489,0.499,0.556,0.509,0.525,0.491
