training_examples,Logistic Regression,Decision Tree,Random Forest,Support Vector Machines,K-Nearest Neighbors,Two-Class Bayes
360,0.814,0.815,0.799,0.815,0.756,0.813
720,0.815,0.815,0.799,0.815,0.767,0.815
1080,0.815,0.815,0.797,0.815,0.766,0.815
1440,0.815,0.815,0.801,0.815,0.774,0.815
1800,0.815,0.815,0.809,0.815,0.784,0.815
2160,0.815,0.815,0.806,0.815,0.774,0.815
2520,0.815,0.815,0.806,0.815,0.779,0.815
2880,0.815,0.815,0.805,0.815,0.784,0.815
3240,0.815,0.815,0.808,0.815,0.783,0.815
3600,0.815,0.815,0.812,0.815,0.778,0.815
3960,0.815,0.815,0.81,0.815,0.775,0.815
4320,0.815,0.815,0.811,0.815,0.775,0.815
4680,0.815,0.815,0.81,0.815,0.775,0.815
5040,0.815,0.815,0.812,0.815,0.77,0.815
5400,0.815,0.815,0.811,0.815,0.767,0.815
5760,0.815,0.815,0.818,0.815,0.765,0.815
6120,0.815,0.815,0.816,0.815,0.762,0.815
6480,0.815,0.815,0.816,0.815,0.76,0.815
6840,0.815,0.815,0.814,0.815,0.763,0.815
7200,0.815,0.815,0.817,0.815,0.756,0.815
