training_examples,Logistic Regression,Decision Tree,Random Forest,Support Vector Machines,K-Nearest Neighbors,Two-Class Bayes
360,0.527,0.519,0.529,0.556,0.514,0.529
720,0.54,0.538,0.53,0.559,0.516,0.542
1080,0.539,0.532,0.531,0.559,0.535,0.539
1440,0.547,0.53,0.546,0.561,0.538,0.551
1800,0.548,0.54,0.55,0.562,0.543,0.55
2160,0.552,0.544,0.547,0.561,0.553,0.552
2520,0.553,0.55,0.558,0.562,0.542,0.554
2880,0.555,0.541,0.546,0.562,0.545,0.554
3240,0.557,0.549,0.56,0.562,0.541,0.557
3600,0.555,0.553,0.564,0.562,0.549,0.556
3960,0.555,0.557,0.563,0.562,0.541,0.555
4320,0.557,0.559,0.567,0.562,0.555,0.556
4680,0.56,0.556,0.576,0.562,0.539,0.559
5040,0.56,0.559,0.568,0.562,0.538,0.56
5400,0.562,0.562,0.57,0.562,0.544,0.562
5760,0.562,0.562,0.575,0.562,0.555,0.562
6120,0.562,0.562,0.578,0.562,0.552,0.562
6480,0.563,0.562,0.583,0.562,0.549,0.563
6840,0.562,0.562,0.582,0.562,0.555,0.562
7200,0.564,0.562,0.591,0.562,0.55,0.564
