training_examples,Logistic Regression,Decision Tree,Random Forest,Support Vector Machines,K-Nearest Neighbors,Two-Class Bayes
360,0.746,0.75,0.712,0.75,0.678,0.745
720,0.75,0.75,0.728,0.75,0.694,0.75
1080,0.75,0.75,0.73,0.75,0.706,0.75
1440,0.75,0.75,0.732,0.75,0.703,0.75
1800,0.75,0.75,0.736,0.75,0.709,0.75
2160,0.75,0.75,0.737,0.75,0.716,0.75
2520,0.75,0.75,0.739,0.75,0.712,0.75
2880,0.75,0.75,0.738,0.75,0.706,0.75
3240,0.75,0.75,0.746,0.75,0.713,0.75
3600,0.75,0.75,0.741,0.75,0.713,0.75
3960,0.75,0.75,0.741,0.75,0.704,0.75
4320,0.75,0.75,0.746,0.75,0.716,0.75
4680,0.75,0.75,0.749,0.75,0.711,0.75
5040,0.75,0.75,0.751,0.75,0.696,0.75
5400,0.75,0.75,0.746,0.75,0.711,0.75
5760,0.75,0.75,0.752,0.75,0.709,0.75
6120,0.75,0.75,0.752,0.75,0.71,0.75
6480,0.75,0.75,0.75,0.75,0.71,0.75
6840,0.75,0.75,0.754,0.75,0.706,0.75
7200,0.75,0.75,0.758,0.75,0.703,0.75
